Governorate,Date,Weather_Code,Max_Temp,Min_Temp,Avg_Humidity,Source
Cairo,2022-01-01,51,18.3,8.6,79,Open-Meteo Historical Weather API
Cairo,2022-01-02,51,19.4,8.8,81,Open-Meteo Historical Weather API
Cairo,2022-01-03,3,20.5,10.2,78,Open-Meteo Historical Weather API
Cairo,2022-01-04,3,19.5,10.5,74,Open-Meteo Historical Weather API
Cairo,2022-01-05,3,20.3,10.2,72,Open-Meteo Historical Weather API
Cairo,2022-01-06,3,20.4,7.8,74,Open-Meteo Historical Weather API
Cairo,2022-01-07,3,19.6,7.4,78,Open-Meteo Historical Weather API
Cairo,2022-01-08,0,21.9,6.8,69,Open-Meteo Historical Weather API
Cairo,2022-01-09,3,18.1,8.9,58,Open-Meteo Historical Weather API
Cairo,2022-01-10,0,17.4,8.2,54,Open-Meteo Historical Weather API
Cairo,2022-01-11,0,20.2,8.4,44,Open-Meteo Historical Weather API
Cairo,2022-01-12,3,20.1,10.2,37,Open-Meteo Historical Weather API
Cairo,2022-01-13,3,19.6,8.6,53,Open-Meteo Historical Weather API
Cairo,2022-01-14,51,16.1,9.6,71,Open-Meteo Historical Weather API
Cairo,2022-01-15,3,16.9,8.1,59,Open-Meteo Historical Weather API
Cairo,2022-01-16,51,18.0,8.9,60,Open-Meteo Historical Weather API
Cairo,2022-01-17,3,15.8,5.8,66,Open-Meteo Historical Weather API
Cairo,2022-01-18,2,16.1,5.2,60,Open-Meteo Historical Weather API
Cairo,2022-01-19,61,14.4,8.3,57,Open-Meteo Historical Weather API
Cairo,2022-01-20,3,15.4,5.8,53,Open-Meteo Historical Weather API
Cairo,2022-01-21,1,15.9,3.7,65,Open-Meteo Historical Weather API
Cairo,2022-01-22,1,16.8,4.3,59,Open-Meteo Historical Weather API
Cairo,2022-01-23,2,17.4,7.6,55,Open-Meteo Historical Weather API
Cairo,2022-01-24,51,15.8,6.2,63,Open-Meteo Historical Weather API
Cairo,2022-01-25,3,15.9,4.2,49,Open-Meteo Historical Weather API
Cairo,2022-01-26,55,11.5,7.7,64,Open-Meteo Historical Weather API
Cairo,2022-01-27,3,15.0,6.2,59,Open-Meteo Historical Weather API
Cairo,2022-01-28,3,15.7,5.8,67,Open-Meteo Historical Weather API
Cairo,2022-01-29,3,17.0,5.4,61,Open-Meteo Historical Weather API
Cairo,2022-01-30,3,18.1,6.1,59,Open-Meteo Historical Weather API
Cairo,2022-01-31,51,17.0,8.1,58,Open-Meteo Historical Weather API
Cairo,2022-02-01,3,18.8,8.3,67,Open-Meteo Historical Weather API
Cairo,2022-02-02,3,20.3,7.2,56,Open-Meteo Historical Weather API
Cairo,2022-02-03,51,18.5,9.7,46,Open-Meteo Historical Weather API
Cairo,2022-02-04,51,16.8,9.6,57,Open-Meteo Historical Weather API
Cairo,2022-02-05,3,18.0,8.5,61,Open-Meteo Historical Weather API
Cairo,2022-02-06,3,19.5,6.5,63,Open-Meteo Historical Weather API
Cairo,2022-02-07,0,22.4,7.1,57,Open-Meteo Historical Weather API
Cairo,2022-02-08,0,23.9,7.7,49,Open-Meteo Historical Weather API
Cairo,2022-02-09,2,17.8,7.7,51,Open-Meteo Historical Weather API
Cairo,2022-02-10,3,16.6,8.6,56,Open-Meteo Historical Weather API
Cairo,2022-02-11,3,19.5,7.6,62,Open-Meteo Historical Weather API
Cairo,2022-02-12,0,21.1,7.3,61,Open-Meteo Historical Weather API
Cairo,2022-02-13,3,22.0,8.6,69,Open-Meteo Historical Weather API
Cairo,2022-02-14,3,20.4,7.3,63,Open-Meteo Historical Weather API
Cairo,2022-02-15,2,20.1,8.2,66,Open-Meteo Historical Weather API
Cairo,2022-02-16,3,20.3,8.9,60,Open-Meteo Historical Weather API
Cairo,2022-02-17,3,19.0,10.1,65,Open-Meteo Historical Weather API
Cairo,2022-02-18,63,20.0,7.0,74,Open-Meteo Historical Weather API
Cairo,2022-02-19,63,15.4,8.6,73,Open-Meteo Historical Weather API
Cairo,2022-02-20,3,20.3,7.8,69,Open-Meteo Historical Weather API
Cairo,2022-02-21,3,22.5,8.4,66,Open-Meteo Historical Weather API
Cairo,2022-02-22,3,24.0,9.4,61,Open-Meteo Historical Weather API
Cairo,2022-02-23,51,24.7,11.1,57,Open-Meteo Historical Weather API
Cairo,2022-02-24,61,18.0,9.4,61,Open-Meteo Historical Weather API
Cairo,2022-02-25,51,18.1,10.9,58,Open-Meteo Historical Weather API
Cairo,2022-02-26,3,20.4,9.9,59,Open-Meteo Historical Weather API
Cairo,2022-02-27,3,21.8,8.1,56,Open-Meteo Historical Weather API
Cairo,2022-02-28,3,23.5,9.4,54,Open-Meteo Historical Weather API
Cairo,2022-03-01,3,26.0,9.7,51,Open-Meteo Historical Weather API
Cairo,2022-03-02,3,28.9,13.8,38,Open-Meteo Historical Weather API
Cairo,2022-03-03,3,19.6,12.4,49,Open-Meteo Historical Weather API
