Governorate,Condition,High Temp (C),Low Temp (C),Date
Cairo,mostly sunny,17.2,7.8,2022-01-01
Cairo,foggy,15.0,7.2,2022-01-02
Cairo,foggy,13.9,7.2,2022-01-03
Cairo,foggy,17.2,6.1,2022-01-04
Cairo,mostly sunny,17.2,5.0,2022-01-05
Cairo,mostly sunny,18.9,5.0,2022-01-06
Cairo,mostly sunny,20.0,7.2,2022-01-07
Cairo,mostly sunny,21.1,6.1,2022-01-08
Cairo,mostly sunny,17.2,7.8,2022-01-09
Cairo,mostly sunny,17.8,7.2,2022-01-10
Cairo,mostly sunny,18.9,5.0,2022-01-11
Cairo,mostly sunny,22.2,7.2,2022-01-12
Cairo,mostly sunny,17.8,7.2,2022-01-13
Cairo,mostly sunny,17.2,7.2,2022-01-14
Cairo,mostly sunny,17.2,5.0,2022-01-15
Cairo,mostly sunny,16.1,3.9,2022-01-16
Cairo,mostly sunny,16.1,3.9,2022-01-17
Cairo,mostly sunny,13.9,3.9,2022-01-18
Cairo,mostly sunny,16.1,3.9,2022-01-19
Cairo,mostly sunny,12.8,3.9,2022-01-20
Cairo,mostly sunny,15.0,2.2,2022-01-21
Cairo,mostly sunny,15.0,2.8,2022-01-22
Cairo,mostly sunny,17.8,2.8,2022-01-23
Cairo,mostly sunny,16.1,5.0,2022-01-24
Cairo,mostly sunny,15.0,2.8,2022-01-25
Cairo,mostly sunny,15.0,2.8,2022-01-26
Cairo,mostly sunny,13.9,2.8,2022-01-27
Cairo,mostly sunny,15.0,2.8,2022-01-28
Cairo,mostly sunny,17.2,2.2,2022-01-29
Cairo,mostly sunny,17.8,3.9,2022-01-30
Cairo,mostly sunny,17.2,5.0,2022-01-31
Cairo,mostly sunny,17.8,6.1,2022-02-01
Cairo,mostly sunny,20.0,5.0,2022-02-02
Cairo,mostly sunny,18.9,7.2,2022-02-03
Cairo,mostly sunny,16.1,7.8,2022-02-04
Cairo,mostly sunny,16.1,6.1,2022-02-05
Cairo,mostly sunny,17.2,5.0,2022-02-06
Cairo,mostly sunny,18.9,5.0,2022-02-07
Cairo,mostly sunny,22.8,6.1,2022-02-08
Cairo,mostly sunny,20.0,7.8,2022-02-09
Cairo,mostly sunny,15.0,5.0,2022-02-10
Cairo,mostly sunny,17.2,7.2,2022-02-11
Cairo,mostly sunny,22.2,5.0,2022-02-12
Cairo,mostly sunny,21.1,5.0,2022-02-13
Cairo,mostly sunny,17.8,6.1,2022-02-14
Cairo,mostly sunny,17.8,7.2,2022-02-15
Cairo,mostly sunny,18.9,7.2,2022-02-16
Cairo,mostly sunny,21.1,7.8,2022-02-17
Cairo,mostly sunny,18.9,7.8,2022-02-18
Cairo,mostly sunny,18.9,7.2,2022-02-19
Cairo,mostly sunny,20.0,6.1,2022-02-20
Cairo,mostly sunny,22.8,7.2,2022-02-21
Cairo,mostly sunny,23.9,7.8,2022-02-22
Cairo,mostly sunny,27.2,10.0,2022-02-23
Cairo,mostly sunny,20.0,8.9,2022-02-24
Cairo,mostly sunny,21.1,8.9,2022-02-25
Cairo,mostly sunny,20.0,7.2,2022-02-26
Cairo,mostly sunny,21.1,7.2,2022-02-27
Cairo,mostly sunny,22.8,7.8,2022-02-28
Cairo,mostly sunny,27.2,7.8,2022-03-01
Cairo,mostly sunny,31.1,7.8,2022-03-02
Cairo,foggy,18.9,12.2,2022-03-03
Cairo,mostly sunny,21.1,7.2,2022-03-04
Cairo,mostly sunny,27.2,10.0,2022-03-05
Cairo,foggy,33.9,18.9,2022-03-06
Cairo,mostly sunny,22.8,16.1,2022-03-07
Cairo,mostly sunny,32.2,12.2,2022-03-08
Cairo,mostly sunny,26.1,15.0,2022-03-09
Cairo,foggy,21.1,8.9,2022-03-10
Cairo,mostly sunny,17.2,7.2,2022-03-11
Cairo,mostly sunny,16.1,7.8,2022-03-12
Cairo,mostly sunny,17.8,5.0,2022-03-13
Cairo,mostly sunny,15.0,6.1,2022-03-14
Cairo,mostly sunny,16.1,6.1,2022-03-15
Cairo,mostly sunny,17.2,5.0,2022-03-16
Cairo,mostly sunny,18.9,6.1,2022-03-17
Cairo,mostly sunny,22.2,6.1,2022-03-18
Cairo,mostly sunny,21.1,8.9,2022-03-19
Cairo,mostly sunny,22.2,8.9,2022-03-20
Cairo,mostly sunny,22.2,8.9,2022-03-21
Cairo,mostly sunny,17.2,7.8,2022-03-22
Cairo,mostly sunny,18.9,-17.8,2022-03-23
Cairo,mostly sunny,18.9,6.1,2022-03-24
Cairo,mostly sunny,17.8,6.1,2022-03-25
Cairo,mostly sunny,22.2,6.1,2022-03-26
Cairo,mostly sunny,22.2,8.9,2022-03-27
Cairo,mostly sunny,25.0,8.9,2022-03-28
Cairo,mostly sunny,26.1,10.0,2022-03-29
Cairo,mostly sunny,30.0,11.1,2022-03-30
Cairo,mostly sunny,32.8,12.2,2022-03-31
Cairo,mostly sunny,37.2,13.9,2022-04-01
Cairo,mostly sunny,37.2,16.1,2022-04-02
Cairo,mostly sunny,36.1,17.8,2022-04-03
Cairo,mostly sunny,37.2,15.0,2022-04-04
Cairo,mostly sunny,40.0,18.9,2022-04-05
Cairo,mostly sunny,40.0,20.0,2022-04-06
Cairo,mostly sunny,41.1,20.0,2022-04-07
Cairo,mostly sunny,41.1,22.8,2022-04-08
Cairo,mostly sunny,28.9,17.2,2022-04-09
Cairo,mostly sunny,35.0,13.9,2022-04-10
Cairo,mostly sunny,31.1,18.9,2022-04-11
Cairo,mostly sunny,25.0,12.8,2022-04-12
Cairo,mostly sunny,26.1,10.0,2022-04-13
