Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Source
Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Web Scraping - Wikipedia Climate Data
Record high °C (°F),31.0(87.8),34.8(94.6),39.6(103.3),43.2(109.8),47.8(118.0),46.4(115.5),44.3(111.7),43.4(110.1),43.7(110.7),41.0(105.8),37.4(99.3),31.7(89.1),47.8(118.0),Web Scraping - Wikipedia Climate Data
Mean daily maximum °C (°F),18.9(66.0),20.5(68.9),23.8(74.8),28.1(82.6),32.2(90.0),34.6(94.3),35.0(95.0),34.9(94.8),33.4(92.1),30.0(86.0),24.9(76.8),20.5(68.9),28.1(82.6),Web Scraping - Wikipedia Climate Data
Daily mean °C (°F),14.4(57.9),15.6(60.1),18.3(64.9),21.8(71.2),25.6(78.1),28.2(82.8),29.1(84.4),29.2(84.6),27.6(81.7),24.6(76.3),20.0(68.0),15.9(60.6),22.5(72.5),Web Scraping - Wikipedia Climate Data
Mean daily minimum °C (°F),10.1(50.2),11.0(51.8),13.2(55.8),15.9(60.6),19.3(66.7),22.2(72.0),23.8(74.8),24.3(75.7),22.7(72.9),20.0(68.0),15.6(60.1),11.7(53.1),17.5(63.5),Web Scraping - Wikipedia Climate Data
Record low °C (°F),1.2(34.2),3.6(38.5),5.0(41.0),7.6(45.7),12.3(54.1),16.0(60.8),18.2(64.8),19.0(66.2),14.5(58.1),12.3(54.1),5.2(41.4),3.0(37.4),1.2(34.2),Web Scraping - Wikipedia Climate Data
Average precipitation mm (inches),4.8(0.19),3.8(0.15),6.3(0.25),1.3(0.05),0.2(0.01),0(0),0(0),0(0),0(0),0.7(0.03),4.3(0.17),3.4(0.13),24.8(0.98),Web Scraping - Wikipedia Climate Data
Average precipitation days (≥ 1.0 mm),1.3,2.0,1.2,1.3,0.6,0.6,0.7,1.0,0.7,0.1,0.6,0.8,11.0,Web Scraping - Wikipedia Climate Data
Average relative humidity (%),59,54,53,47,46,49,58,61,60,60,61,61,56,Web Scraping - Wikipedia Climate Data
Average dew point °C (°F),5.2(41.4),5.0(41.0),6.1(43.0),7.5(45.5),10.1(50.2),13.9(57.0),17.5(63.5),18.3(64.9),16.7(62.1),14.0(57.2),10.7(51.3),6.7(44.1),11.0(51.8),Web Scraping - Wikipedia Climate Data
Mean monthly sunshine hours,213,234,269,291,324,357,363,351,311,292,248,198,"3,451",Web Scraping - Wikipedia Climate Data
Percentage possible sunshine,66,75,73,75,77,85,84,86,84,82,78,62,77,Web Scraping - Wikipedia Climate Data
Average ultraviolet index,4,5,7,9,10,11.5,11.5,11,9,7,5,3,7.8,Web Scraping - Wikipedia Climate Data
"Source 1: NOAA (humidity, dew point, records 1961–1990)[1][2]",,,,,,,,,,,,,,Web Scraping - Wikipedia Climate Data
Source 2: Danish Meteorological Institute for sunshine (1931–1960)[3] and Weather2Travel (ultraviolet)[4],,,,,,,,,,,,,,Web Scraping - Wikipedia Climate Data
