Timestamp,User,Comment,Source
2026-06-02T20:56:40Z,~2026-32840-47,/* */ Fixed incorrect grammar at header of article.,Wikipedia API - Revision History
2026-03-04T00:37:16Z,~2026-13855-95,/* Prevailing wind */Fixed spelling and grammar.,Wikipedia API - Revision History
2025-12-08T04:25:40Z,MagiTagi,"/* Prevailing wind */This information is not accurate (or is no longer accurate), the average cairo temperature is much colder and moderate than described, there is no citation as to what this is measuring. It's worth noting that the winter of 2025-2026 will likely dip below 7.",Wikipedia API - Revision History
2025-10-23T17:34:37Z,PM Wiki the I,,Wikipedia API - Revision History
2025-08-26T01:43:43Z,2001:8F8:1735:E3E:3D4C:6265:EF80:42CC,,Wikipedia API - Revision History
2025-07-30T03:58:32Z,83.249.231.71,"Of the initial four cities listed, none of them have ever had a temperature reading of 54 degrees Celsius. In fact, nowhere in Egypt has such a high reading ever been recorded. As for averages, the highest of them was Aswan which has an average daily high of 41.9° C in two months of the year as can be seen on its linked Wikipedia article. As for Luxor, its hottest month has an average daily high of 41.2° C. The two cities I deleted fail to even reach a daily average high of 40° in any month.",Wikipedia API - Revision History
2025-05-20T22:01:55Z,Cheaters33,,Wikipedia API - Revision History
2025-04-01T21:56:50Z,MrOllie,Reverted 4 edits by [[Special:Contributions/109.242.92.120|109.242.92.120]] ([[User talk:109.242.92.120|talk]]) to last revision by Forestvoid,Wikipedia API - Revision History
2025-04-01T21:41:18Z,109.242.92.120,Τίποτα,Wikipedia API - Revision History
2025-04-01T21:38:37Z,109.242.92.120,Τίποτα,Wikipedia API - Revision History
2025-04-01T21:37:20Z,109.242.92.120,Τίποτα,Wikipedia API - Revision History
2025-04-01T21:34:32Z,109.242.92.120,Τίποτα,Wikipedia API - Revision History
2025-01-02T06:22:23Z,Forestvoid,Added link to the main Egypt page,Wikipedia API - Revision History
2025-01-02T06:15:39Z,Forestvoid,Fixed error with date of Cairo snowfall,Wikipedia API - Revision History
2024-12-16T07:34:12Z,109.242.138.8,Τίποτα,Wikipedia API - Revision History
2024-12-16T07:33:33Z,109.242.138.8,Τίποτα,Wikipedia API - Revision History
2024-11-02T22:54:37Z,176.58.192.210,Typo,Wikipedia API - Revision History
2024-11-02T22:52:25Z,176.58.192.210,Tell me about it,Wikipedia API - Revision History
2024-11-02T22:50:20Z,176.58.192.210,Easily,Wikipedia API - Revision History
2024-10-27T14:54:33Z,2A02:1810:1420:7600:C1B9:48C7:7D74:28E3,/* Prevailing wind */ Spelling,Wikipedia API - Revision History
2024-10-17T21:27:17Z,176.58.192.210,Tipota,Wikipedia API - Revision History
2024-10-17T21:25:31Z,176.58.192.210,Tipota,Wikipedia API - Revision History
2024-10-03T19:47:48Z,144.51.12.162,/* Mountainous areas */,Wikipedia API - Revision History
2024-10-03T19:47:20Z,144.51.12.162,/* Mountainous areas */,Wikipedia API - Revision History
